id,page_or_template,category,finding,evidence,impact,fix,severity,effort,owner,verification
F56,rebuild: team grid,Media,Published headshots are 400px originals and their circular crops differ in diameter between files,"All 25 downloaded headshots measure 400x400 to 400x409 except arun-shroff.png at 1014x962. In the 4-up grid a cell is ~295 CSS px, needing 590 device px at dpr 2; effective resolution 0.68x. Circle diameter within the 400px canvas varies by roughly 15% across files.","Soft on retina at 4-up, and the row reads unevenly because the faces are different sizes","Request 800px originals with a consistent crop, or re-crop the existing set to a fixed circle diameter",P2,M,Partners,naturalWidth >= 2x rendered width for every team image at dpr 2
F57,/en-uk/about-us/vision-mission-values.html,Accuracy,"""Our Ambition: grow to 200 partners in 50 countries by 2020"" is still published six years after the target date","vision-mission-values.html, Our Ambition block. The firm currently publishes 31 people and 14 offices.",A missed target left on the site reads as either inattention or overstatement,Restate the ambition with a live horizon or remove it. Not carried into the rebuild.,P2,S,Partners,"No ""by 2020"" string in the rebuilt site"
F58,site-wide footer,Accuracy,"Copyright year differs between templates: 2013-2024 on the homepage, 2013-2021 on interior pages","home.html footer ""© Adan Corporate 2013 - 2024.""; company-overview.html, vision-mission-values.html, the-adan-advantage.html, global-locations.html all read ""2013 - 2021"". Extends F07.",Interior pages advertise themselves as five years stale,Single footer component with a computed year. Applied.,P2,S,Build,app/layout.tsx renders new Date().getFullYear(); one footer for all 82 pages
D03,homepage hero,Decision,"Hero direction chosen: the capital-flow diagram, redrawn from the diagram the firm already publishes","Five treatments were built and compared at 375 and 1440 (type-only, capital-flow diagram, face wall, city footage, deal record). Partner selected the diagram.","Reverses nothing: the diagram is SVG drawn from DESIGN.md tokens with hairline rules and no raster, so the ""no media hero"" rule in D02 still holds. The three rejected media options (face wall, city footage) would have required overriding it.","app/components/FlowDiagram.tsx. Labels are HTML, not SVG text, because text inside a scaled viewBox rendered between 9px and 14px depending on viewport and breached the 14px floor. Only the wires are SVG, stretched with preserveAspectRatio=""none"" and held to a hairline by vector-effect. Below 700px the fan stacks into a single downward run.",P3,M,Build,preflight: no text below 14px PASS at 375 and 1440; no overflow at 375 PASS; axe zero violations PASS
F59,homepage hero / brand assets,Media,"The circular badge exists only as a 256px raster with a gloss bevel and drop shadow baked in, and no vector","logo-round.png and adan-company-round-logo-360x600.webp are both 360x573 with the badge occupying a 256x256 region at offset (48,200), RGB with no alpha channel. No SVG variant is served. Companion finding to F51 on the wordmark.","Caps sharp display at 128 CSS px, and the baked gloss and shadow sit outside DESIGN.md, which allows hairline rules and no shadows. Used as-is at the partner's direction.","Cropped to the 256x256 badge and masked to its own circle geometrically (not flood-filled, which risked punching the white inner ring) so it carries no white square and can sit on any surface. Request an SVG with a flat variant from whoever holds the brand files.",P2,S,Partners,"Measured at 375/768/1024/1440 and dpr 1/2/3: delivered device pixels >= needed in every combination. Hub capped at 104 CSS px by clamp(64px,10vw,104px)."
F60,/en-uk/digital/artificial-intelligence.html,Content,"The live AI page is a generic explainer of what AI is, with nothing specific to Adan","Opens ""Artificial Intelligence is the new electricity"" (a borrowed line), then defines machine learning, neural networks and deep learning, and lists virtual agents, targeted advertising, face recognition and autonomous driving. No Adan method, no engagement, no named work, no partner. The sibling Analytics and RPA pages follow the same pattern. Supports decision D01.",A firm that sells partner accountability publishes a page that could belong to anyone; it reads as a placeholder rather than a capability,"Not carried into the rebuild. Replaced on the homepage and at /en-uk/risk/ai-and-automation-in-risk-and-diligence by a description of method that states explicitly what the tooling does, what it does not do, and that every flag is reviewed by a named partner.",P2,S,Partners,AI_METHOD in app/lib/content.ts; no sentence from the live Digital pages appears in the rebuild
F61,rebuild: site-wide header,Navigation,Every primary navigation link was a dead fragment; not one of the five went anywhere,"Header.tsx carried a hardcoded SECTIONS array with href='#corporate-finance' etc, left over from the single-page static build. The NAV export in content.ts was never wired up. All five practice routes returned 200; the links simply never pointed at them. Ten dead links per page across 82 pages.","Primary navigation was non-functional sitewide, on desktop and mobile",Header now maps over NAV from content.ts and sets aria-current for the active practice and its services.,P1,S,Build,Served HTML shows href='/en-uk/corporate-finance' etc; all five return 200; preflight 'empty/# href' gate passes
F62,preflight harness,Tooling,"The dead-link gate could not see fragment hrefs whose target does not exist, so it passed a page on which every nav link was broken","The check tested only for href null, empty or '#'. A href of '#corporate-finance' is none of those. Re-injecting the original bug into the live DOM now yields 10 hits where it previously yielded 0.",A launch gate that reported PASS on a sitewide navigation failure,"The check now resolves every same-page fragment against getElementById and [name], and reports the link text with its target.",P1,S,Build,"Proven both ways: 0 dead links as shipped, 10 caught when the original hrefs are reinstated in the page"
F63,homepage,Design,Below the hero the homepage was eleven consecutive full-width prose sections with almost no visual variation,"Measured at 1440x900: 11,927px of page, 13.3 screens, 1,380 words. Nine of the eleven post-hero sections contained zero images or graphics. Worst offenders: completed transactions 1,625px across 13 paragraphs, and what-we-do 1,293px across 8 paragraphs at 200 words.",Reads as a document rather than a site; the proof sections carry no more weight than the boilerplate,"Section rail (sticky heading left, content right) at 1024px and up; alternating white and sunken surfaces; the transactions block moved to the navy surface with the deal value leading at heading scale; what-we-do rebuilt as a service index with per-service links. No card, shadow or panel was introduced.",P2,M,Build,"Internal links in main rose from 5 to 56. Three critique passes at 375 and 1440. Gate unchanged at 10/18, tap targets and axe still pass."
D04,design system,Decision,DESIGN.md hairline constraint retained; 21st.dev not used as a component source,"Partner chose 'keep hairlines, add rhythm' over relaxing the no-cards rule. A 21st.dev inspiration query for editorial corporate section layouts returned ten results at 0.47-0.52 confidence, all card, glass, gradient or 3D carousel patterns; none compatible with hairline-only.","Rhythm had to come from surface, scale and layout rather than elevation, which is slower but leaves DESIGN.md intact","Patterns taken as reference only. Every component written against existing tokens. No shadcn install, no new dependency.",P3,S,Partners,"package.json unchanged; no box-shadow, border-radius above --r-1, or filled panel added to globals.css"
D05,design system,Decision,"Hairline-only system replaced: elevation, a dark hero, cards and scroll motion added. D04 reversed.","Partner verdict that the rebuild was worse than the site it replaces. The original loads bootstrap, animate.css, wow.js, countup.js, isotope, slick and two icon sets behind a video hero; the rebuild had hairlines and white space. DESIGN.md forbade cards, shadows, filled panels and a media hero - the four things carrying the difference.","The austere direction was my misjudgement, not a brief the client failed to appreciate. It suits a firm with strong photography and a confident mark; this firm has 400px headshots and no vector logo, so restraint read as emptiness.","Two-step elevation scale tuned on navy, dark navy hero carrying the diagram and badge, card component, circular portrait cards, scroll reveal that enhances an already-visible default. Identity unchanged: Montserrat, IBM Plex, #002060, #C00000, the badge. Still no video, no stock photography, no raster hero.",P3,L,Build,"Homepage 11,774px -> 10,450px. Gate 11 of 12 pass, TKTK unchanged. Hero ALL PASS across 16 viewports. Reduced motion: 39 reveal nodes, 0 hidden. JS disabled: all 18 cards present in HTML."
F64,"dark surfaces, site-wide",Accessibility,Three 14px/600 text pairs shipped at 3.6:1 on the new dark hero; axe passed them,".hero__eyebrow, .flow__key--in and .flow__key--out rendered #5C74A8 on #001A4D = 3.60:1 against a 4.5 requirement. axe-core reported zero violations because it returns ""incomplete"", not ""violation"", when a gradient sits behind the text - and the hero carries two radial washes.",A WCAG 2.2 AA failure that the accessibility gate was structurally unable to see,"--c-navy-300 moved from #5C74A8 to #7C93C4, measured at 5.4:1. Added scripts/contrast.mjs, which walks every text node to its first opaque ancestor background and computes the ratio directly rather than relying on axe.",P1,S,Build,"scripts/contrast.mjs returns PASS on the homepage, service hub, team index and contact page"
F65,all eight interior templates,Design,"Every interior page held a full viewport height for a title and one paragraph, on a white ground, while the homepage hero was dark","The D05 rule min-block-size:calc(100svh - var(--header-h)) was written on .hero, which PageIntro also uses. At 1440x900 the corporate-finance hero measured 820px containing a heading and three lines. The band was also still white, so no interior page matched the new homepage.",Seven of nine templates opened on an empty screen and read as unfinished,"Full-height rule scoped to a new .hero--full, applied only to the homepage. PageIntro rebuilt as a dark band sized to its content, with an eyebrow and an optional aside; without an aside the hero narrows rather than leaving half the band empty. Practice hubs and service leaves carry jump links to their siblings, team and contact carry counts by group. Service lists became cards.",P2,M,Build,"Interior hero heights now 338-439px at 1440x900, all on rgb(0,26,77). Homepage hero still ALL PASS across 16 viewports. Contrast PASS on all nine templates. Gate 11 of 12, TKTK unchanged."
D06,information architecture,Decision,"AI promoted to a sixth top-level section at /en-uk/ai, overriding the max-five cap for the second time this session","Partner request. Precedent: D01 promoted Digital & Technology Advisory to a sixth section and was then reversed once evidence showed the practice had shipped nothing. This differs in kind - the section claims a method applied inside existing services, not a practice with its own record.",AI now sits level with Corporate Finance and M&A in the primary navigation while carrying no delivered engagement. That gap is stated on the page itself rather than left implicit.,"New section built from AI_METHOD, six applications each mapped to an existing service, and an explicit AI_LIMITS block (""What we do not claim""). The homepage AI block and the footer now point here. The original leaf under Risk still resolves.",P3,M,Partners,/en-uk/ai returns 200; contrast PASS; gate 11 of 12 with TKTK unchanged; AI appears in primary nav and footer
F66,site-wide header,Navigation,"A sixth nav item left 20px of headroom at 1024px, one label away from wrapping",Measured across 1024-1920: six items occupy 920px against 940px available at 1024. Five items previously left 60px.,Any future rename would have wrapped the primary navigation with no warning,"Desktop nav breakpoint moved from 1024 to 1180; 1024-1179 keeps the menu button. Rejected alternatives: tightening --nav-gap gained only 4px, and dropping the nav below 16px would breach the type floor in DESIGN.md section 4.",P2,S,Build,"Minimum headroom now 80px at 1180. No wrapping at 1180, 1280, 1440 or 1920; menu button serves 1024 and 1179."
F67,site-wide footer,Design,"Footer rebuilt: it was a flat black block of underlined text with no mark, no call to action and no proof","Measured 572px at 1440 on #111111. Four columns of uniformly underlined links, social links as plain words, no brand mark, and no route to contact from pages that do not end in a contact section (legal, insights, careers).",The last thing on every page read as a sitemap rather than a firm,"Moved to --c-navy-900 so it reads as the base of the page rather than an unrelated black band. Added a navy-700 call-to-action band above it, the circular badge beside the wordmark, a labelled registered office, a 14-city band, and social icons as 44px inline-SVG targets. Links lost their default underline and gain it on hover.",P2,M,Build,"Contrast PASS on homepage, insights, AI and legal templates. Gate 11 of 12, TKTK unchanged. No horizontal overflow at 375. Footer 1044px at 1440."
F68,footer call-to-action band,Accessibility,"The secondary button outline was invisible: it borders in --accent, which is the exact colour of the band behind it",".btn--secondary sets border-color:var(--accent) = --c-navy-700 #002060, and the new CTA band uses --c-navy-700 as its background. Contrast between the border and its ground was 1:1. The dark hero already carried an override; the new band did not inherit it.","A call-to-action button with no visible boundary, against WCAG 2.2 AA 1.4.11 non-text contrast","Same override the dark hero uses: rgba(255,255,255,.4) border, inverse text, solid white on hover.",P1,S,Build,"Border measured against its computed background at 3.5:1, clearing the 3:1 requirement. Checked by script rather than by eye, since the failing state was invisible."
F69,homepage / sitewide,design,"Montserrat + IBM Plex Sans paired two sans-serifs that differ by degree, not axis — the pairing that reads as a template. Display face replaced with Source Serif 4 (variable, opsz); display weight dropped 700 -> 400 and every display step sized up, since a serif reads optically smaller than a sans at the same px.",Baseline 1440 capture: 64px Montserrat 700 hero; impeccable rule 'do not pair fonts that are similar but not identical'.,Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P2,M,Claude,
F70,homepage / sitewide,design,"Swapping the display face left ten small/uppercase/letter-spaced rules set in serif (.cols__head, .flow__key, .footer__head, .page-back, form labels and others). A serif at 13-15px with 0.1em tracking fights its own construction.","grep of font-display across globals.css: 21 usages, 10 under 20px.",Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P2,S,Claude,
F71,homepage / sitewide,design,"Cards carried --e-1 with a translateY lift on hover, repeated across four grids on the homepage. Reversed to flat tonal tiles with a ground-change hover. Elevation retained only on the sticky header.",Homepage ran 4 near-identical elevated card grids; impeccable bans 'identical card grids'. Reverses D05.,Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P2,M,Claude,
F72,homepage / sitewide,design,"Five practices in a three-across card grid orphaned the second row, leaving a third of the width empty. Replaced with .lineup, a rule-separated row per practice carrying the full service list.",p1 slice-02: row 2 holds 2 of 3 cells.,Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P2,M,Claude,
F73,homepage / sitewide,design,.figrow__item carried a 2px red border-inline-start. Coloured side-stripes are an explicit banned pattern. Replaced with a hairline rule over the figure.,impeccable absolute bans: 'side-stripe borders ... never intentional'.,Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P3,S,Claude,
F74,homepage / sitewide,design,"#FF4D4D was hardcoded in five rules for the diagram's outbound half and exists in no token file. Red against navy is roughly 1.9:1, the lowest-contrast pairing available, so the outbound half was both off-system and hardest to see. Directions now separate by luminance: inbound navy-300, outbound white.","grep FF4D4D globals.css: 5 occurrences, absent from DESIGN.md palette.",Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P2,S,Claude,
F75,homepage / sitewide,design,"Hero used align-content:center inside 100svh, floating content in the middle and leaving ~170px of dead navy above and below. Rebuilt as two grid rows with a credential strip pinned to the base of the band; the standalone navy figures section below it was removed.",Baseline 1440 capture: content occupied the middle third of the band.,Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P2,M,Claude,
F76,homepage / sitewide,design,"Hero's second radial gradient was red at .16 alpha over navy, compositing to a muddy aubergine in the bottom-left corner — a colour in no palette. Reduced to a single navy light source.","Baseline 1440 capture, lower-left quadrant.",Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P3,S,Claude,
F77,homepage / sitewide,design,"Primary CTA was solid red. The mark sets red in a small box against a navy wordmark; a full-width red button inverts that ratio and reads retail. Primary is now navy, inverting to white on dark grounds; red is retained as the accent only.",Baseline 1440 capture; brand lockup in logo.webp.,Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P2,S,Claude,
F78,homepage / sitewide,design,"REGRESSION, self-inflicted: retuning the type scale dropped --t-micro from 14px to 13px, breaching the closed floor in DESIGN.md section 3. Gate went from 11/12 to 0/18 template/width combinations clean. Reverted to .875rem.","preflight.mjs: 'no text below 14px' FAIL 18/18, then PASS after revert.",Site read as a generated template rather than an advisory practice.,Shipped in this pass; see DESIGN.md D07.,P1,S,Claude,
F79,homepage,content,"Live counter band publishes 35 professionals / 20 average years / 15 countries / $5bn transaction value. The roster publishes 32 people, the office list supports 13 countries, 8 of 32 bios state no year figure so no average is computable, and no cumulative deal total appears in any source. All four replaced with values derived from lists on this site.",assets-from-live/home.html lines 886-919; PARTNERS.length=32; COUNTRY_COUNT=13; DEALS has 1 of 6 marked Confidential.,Unsourced figures on the most-read page; decorative image mis-announced.,Shipped this pass; see audit/copy-provenance.md.,P1,S,Claude,"preflight 11/12, contrast PASS, band measured 5.8:1"
F80,homepage,content,"careers-network.webp carries alt=""iPad cover"" on the live site, left over from the purchased Bootstrap template. Screen readers announce a wrong noun on a decorative image.","assets-from-live/home.html, Who we are section.",Unsourced figures on the most-read page; decorative image mis-announced.,Shipped this pass; see audit/copy-provenance.md.,P2,S,Claude,"preflight 11/12, contrast PASS, band measured 5.8:1"
F81,homepage,design,"Stat band puts white text over a photograph, which no automated contrast checker can evaluate — a photographic ancestor has no computable background colour. Worst case derived instead: brightest 12px-blurred region of the source is rgb(242,240,222); under an rgba(0,11,34,.68) scrim that composites to ~7.5:1, and the rendered band measures 5.8:1 behind the label rows.",scripts computed against web/public/careers-network.webp and audit/screenshots/img/band.png.,Legibility and performance of the new image band.,Shipped this pass; see audit/copy-provenance.md.,P2,S,Claude,"preflight 11/12, contrast PASS, band measured 5.8:1"
F82,homepage,design,"background-attachment:fixed is ignored by iOS Safari, which renders the background zoomed and stationary, and forces a full-layer repaint per scroll frame on touch. Scoped to (min-width:1024px) and (hover:hover) and (pointer:fine), and disabled under prefers-reduced-motion since a fixed background is motion.",Verified computed backgroundAttachment == 'scroll' in a 375px touch context.,Legibility and performance of the new image band.,Shipped this pass; see audit/copy-provenance.md.,P2,S,Claude,"preflight 11/12, contrast PASS, band measured 5.8:1"
F83,homepage,design,"Stat band initially carried both .section and .statband__inner padding, giving it roughly 200px of padding per side and a 625px band for four figures. Dropped .section; band is now 317px.",Measured band height 625px -> 317px at 1440.,Legibility and performance of the new image band.,Shipped this pass; see audit/copy-provenance.md.,P3,S,Claude,"preflight 11/12, contrast PASS, band measured 5.8:1"
F84,homepage / contact,trust,"The enquiry form told the user 'Your enquiry has been recorded and a partner will reply directly' while nothing left the browser — there is no endpoint. A person with a live transaction could submit, believe a partner had it, and never be contacted. Replaced with a message stating only what is true, set apart with a red rule, and the working routes placed beside the form.",EnquiryForm.tsx: '// TKTK: endpoint to be confirmed' immediately preceding the success string.,Enquiry silently lost; user believes a partner has it.,Shipped this pass. OPEN: form still needs an endpoint or a monitored inbox.,P1,S,Partner (endpoint decision),"preflight 11/12, axe 0 violations, contrast PASS"
F85,homepage / contact,design,"Contact section was a 600px form alone in a 1280px container: roughly 700px of empty white beside it, 1081px of page height for four fields, and nothing offered in return for the effort asked. Rebuilt as two columns with an aside carrying the routes that work today — 23 partner addresses, 14 office numbers, registered office.",audit/screenshots/img/contact.png at 1440.,Weak closing section on the highest-intent part of the page.,Shipped this pass.,P2,M,Claude,"preflight 11/12, axe 0 violations, contrast PASS"
F86,homepage / contact,design,"Four full-width stacked fields read as a long form. Name/email and organisation/topic now pair two-up above 560px. A routing select was added, its options derived from PRACTICES so they cannot drift from the practices the site lists.","Form column height reduced; options generated, not typed.",Weak closing section on the highest-intent part of the page.,Shipped this pass.,P3,S,Claude,"preflight 11/12, axe 0 violations, contrast PASS"
F87,homepage / contact,design,"Footer CTA band asked 'Considering a raise, a transaction or a restructuring?' directly beneath the homepage contact form — the same question, immediately below the form answering it. Suppressed with body:has(#contact); pages with no contact section keep it.","Verified: homepage CTA hidden, /en-uk/insights and /en-uk/legal/privacy-policy still show it.",Weak closing section on the highest-intent part of the page.,Shipped this pass.,P3,S,Claude,"preflight 11/12, axe 0 violations, contrast PASS"
F88,homepage / hero,design,"Hero office list was 14 city names in one undifferentiated run: no hierarchy, and it discarded the two facts that make the list mean anything — how the offices group, and how far apart they are. Rebuilt as three continent columns with counts, plus a derived span figure.","audit/screenshots/img/roll.png before/after; 6 Europe, 6 Asia, 2 Africa.",The distributed model is the firm\u2019s differentiator and the hero was under-selling it.,Shipped this pass.,P2,M,Claude,"verify-hero ALL PASS 16 viewports, axe 0, contrast PASS"
F89,homepage / hero,design,"Time-zone offsets are derived from IANA zone names at build time against a fixed 15 January reference, not typed. A typed offset would have put Almaty at UTC+6 — it moved to +5 in 2024 — and reading the current date would flip London between +0 and +1 depending on the deploy month.","node check: Almaty resolves UTC+5, TZ_SPAN = 8 hours.",The distributed model is the firm\u2019s differentiator and the hero was under-selling it.,Shipped this pass.,P3,S,Claude,"verify-hero ALL PASS 16 viewports, axe 0, contrast PASS"
F90,homepage / hero,accessibility,"First draft marked the three continent labels as <h2>, which would have inserted Europe/Asia/Africa into the document outline ahead of 'Who we are'; a screen-reader user navigating by heading would meet the office list before the firm. Changed to <p> with aria-labelledby on each list.","Verified heading order: H1 proposition, H2 Who we are, H2 What we do.",The distributed model is the firm\u2019s differentiator and the hero was under-selling it.,Shipped this pass.,P2,S,Claude,"verify-hero ALL PASS 16 viewports, axe 0, contrast PASS"
F91,homepage / what we do,design,"The firm's capital-flow diagram existed only as a Word-era raster with bevels, drop shadows and text that falls well below 14px once scaled, and it cannot reflow at 375px. Rebuilt as a grid-placed HTML/CSS diagram: every label is real text, every connector is placed by the grid, and below 900px the 2D flow is abandoned for a labelled vertical sequence rather than shrunk.","Live homepage raster; rebuilt as CapitalFlow.tsx. 666px at 1440, 1741px stacked at 375.",The diagram is the clearest statement of what the firm does; it was unreadable or unusable on the rebuilt page.,Shipped this pass; see CapitalFlow.tsx.,P2,L,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F92,homepage / what we do,design,"The original draws 'Small & Medium Sized Enterprises' twice — once before growth, once before exit — to hang M&A/growth/go-to-market/JVs off the arrow between them. It is one entity at two stages, and the duplication is the single thing that makes the diagram hard to read. Drawn once, with the value-creation work listed on the firm.",Compare live raster with audit/screenshots/img/cf4.png.,The diagram is the clearest statement of what the firm does; it was unreadable or unusable on the rebuilt page.,Shipped this pass; see CapitalFlow.tsx.,P3,M,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F93,homepage / what we do,accessibility,"CASCADE: .cf__box--focus set the navy focus background, but .section--sunken .cf__box was declared later with higher specificity (0,2,0 vs 0,1,0) and repainted it white — white heading on white ground, entirely invisible. Third instance of this bug class this session. Fixed with :not(.cf__box--focus) on the context override, not !important.","Computed backgroundColor was rgb(255,255,255); now rgb(0,22,64).",The diagram is the clearest statement of what the firm does; it was unreadable or unusable on the rebuilt page.,Shipped this pass; see CapitalFlow.tsx.,P1,S,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F94,homepage / what we do,accessibility,Sub-list inside the focus box inherited --text (near-black) against navy: present but unreadable. Given an explicit on-inverse colour.,audit/screenshots/img/cf2.png.,The diagram is the clearest statement of what the firm does; it was unreadable or unusable on the rebuilt page.,Shipped this pass; see CapitalFlow.tsx.,P1,S,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F95,homepage / what we do,design,"Return-path connector was one element with hand-tuned percentage insets; the uprights landed in the gaps between boxes rather than under them. Rebuilt as three cells, one per column the path crosses, so every segment is placed by the same grid as the boxes. Geometry must come from the same source as the layout or it drifts the moment a column changes.",audit/screenshots/img/cf1.png vs cf4.png.,The diagram is the clearest statement of what the firm does; it was unreadable or unusable on the rebuilt page.,Shipped this pass; see CapitalFlow.tsx.,P2,M,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F96,homepage / what we do,design,"Connector lines stopped at their grid-cell edges, so every column gap showed as a visible break in the flow. Each segment now overhangs by half the gap.",Line segments were discontinuous at 1440.,The diagram is the clearest statement of what the firm does; it was unreadable or unusable on the rebuilt page.,Shipped this pass; see CapitalFlow.tsx.,P3,S,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F97,homepage / what we do,design,"Adan badges sat half a label-height above the horizontal connectors: a centred flex column centres node-and-label together, not the node. On a diagram whose whole argument is that Adan sits ON every flow, the badge floating above the line contradicts the content. Node now positioned against the line, label offset below it.",audit/screenshots/img/cf3.png vs cf4.png.,The diagram is the clearest statement of what the firm does; it was unreadable or unusable on the rebuilt page.,Shipped this pass; see CapitalFlow.tsx.,P2,S,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F98,homepage / what we do,content,"CORRECTION of F92. I merged the published diagram's two enterprise boxes into one on the grounds that the duplication made it hard to read. That was my judgement substituted for the firm's: the two boxes are the same firm at two points in its life and the arrow between them is the value-creation step, so merging them deleted a stage from the story. Redrawn faithfully with both boxes.",Partner's screenshot of the live diagram; previous build at audit/screenshots/img/cf4.png.,The diagram misstated how the firm describes its own position in the capital chain.,Shipped this pass; topology now matches the published diagram.,P2,M,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F99,homepage / what we do,content,"Lenders connected to only one enterprise box. The published diagram runs two separate lender flows, one into each stage, each with its own Adan node. Second flow restored; the lenders box now spans both body rows as the branch point.","Live diagram shows two green arrows from Lenders, nodes at both.",The diagram misstated how the firm describes its own position in the capital chain.,Shipped this pass; topology now matches the published diagram.,P2,S,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
F100,homepage / what we do,content,"Value-creation list (M&A, go to market, growth, alliances and JVs) had been moved inside the enterprise box. In the published diagram it sits beside the arrow BETWEEN the two stages, because it describes the transition, not the firm. Moved back onto the connector.",Live diagram: bullets sit right of the vertical arrow between the two SME boxes.,The diagram misstated how the firm describes its own position in the capital chain.,Shipped this pass; topology now matches the published diagram.,P3,S,Claude,"preflight 11/12, axe 0, contrast PASS, no overflow at 375"
